X,Y,id,ref,@spider,amenity,cuisine,takeaway,addr:full,addr:city,addr:state,addr:postcode,addr:country,name,phone,website,brand,brand:wikidata,nsi_id
-75.2718360,41.0002380,m9UfhPu4dtX2Ra_4yMh4uxfmuSM=,"3578 Route 611, Bartonsville, PA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,3578 Route 611,Bartonsville,PA,18321-1770,US,"3578 Route 611, Bartonsville, PA - Jersey Mike's Subs", ,https://www.jerseymikes.com/8012/bartonsville-pa,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-78.4027970,40.4789890,xeMQGeZOMlCzxEXnwy1Ib63ie1E=,"505 E. Plank Road, Altoona, PA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,505 E. Plank Road,Altoona,PA,16602,US,"505 E. Plank Road, Altoona, PA - Jersey Mike's Subs", ,https://www.jerseymikes.com/8035/altoona-pa,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-79.9467730,40.5996950,901qJwGtoscDm6H9q6Up9BCw0cU=,"4848 Route 8, Allison Park, PA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,4848 Route 8,Allison Park,PA,15101-2362,US,"4848 Route 8, Allison Park, PA - Jersey Mike's Subs", ,https://www.jerseymikes.com/8060/allison-park-pa,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-75.5611870,40.5882850,Hk0RHul_yZHIzwsrDUhoHRwvJLE=,"4670 Broadway Road, Allentown, PA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,4670 Broadway Road,Allentown,PA,18104-3214,US,"4670 Broadway Road, Allentown, PA - Jersey Mike's Subs", ,https://www.jerseymikes.com/8040/allentown-pa,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-89.5022710,43.0592190,CdxNM7Zh61rM_Q6kYC-X1YBCZoU=,"434 Gammon Place, Madison, WI - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,434 Gammon Place,Madison,WI,53717-1207,US,"434 Gammon Place, Madison, WI - Jersey Mike's Subs", ,https://www.jerseymikes.com/29027/madison-wi,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-81.5486780,39.3052070,fl3K853sg4ItQin0ikMDJSXd8Gw=,"718 Grand Central Ave., Vienna, WV - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,718 Grand Central Ave.,Vienna,WV,26105-2144,US,"718 Grand Central Ave., Vienna, WV - Jersey Mike's Subs", ,https://www.jerseymikes.com/26008/vienna-wv,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-122.5791590,47.3020110,IaFi5x1pF8LX0dJ0EmMiY-_l1cM=,"4819 Point Fosdick Drive NW, Gig Harbor, WA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,4819 Point Fosdick Drive NW,Gig Harbor,WA,98335-1787,US,"4819 Point Fosdick Drive NW, Gig Harbor, WA - Jersey Mike's Subs", ,https://www.jerseymikes.com/18010/gig-harbor-wa,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-77.4444800,38.8702630,mypq5yb6sT_UvBqdT5y8H852qLM=,"5005 Westone Plaza Blvd., Chantilly, VA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,5005 Westone Plaza Blvd.,Chantilly,VA,20151-4207,US,"5005 Westone Plaza Blvd., Chantilly, VA - Jersey Mike's Subs", ,https://www.jerseymikes.com/6029/chantilly-va,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-73.1072120,44.4483370,wjxUHgVx5B3FNgtdjD2QvKRYVVg=,"69 Market Street, Williston, VT - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,69 Market Street,Williston,VT,05495-8155,US,"69 Market Street, Williston, VT - Jersey Mike's Subs", ,https://www.jerseymikes.com/50001/williston-vt,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-111.6916710,40.2953920,Pg5dZHy0qHenLbYl2J-ltOaxvvY=,"73 South State St, Orem, UT - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,73 South State St,Orem,UT,84058-5417,US,"73 South State St, Orem, UT - Jersey Mike's Subs", ,https://www.jerseymikes.com/42006/orem-ut,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-97.7210770,30.2998840,dzFcwRou9iaPXQQ1WTx6p6Gjj2U=,Sandwiches & Subs at Hancock Center - Jersey Mike's,jerseymikes,fast_food,sandwich,yes,1000 East 41 Street,Austin,TX,78751-4857,US,Sandwiches & Subs at Hancock Center - Jersey Mike's, ,https://www.jerseymikes.com/15069/austin-tx,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-86.8078370,35.9499530,w9UXHjwDqLwH9XCjPA7u_KFRq0g=,"1175 Meridian Blvd., Franklin, TN - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,1175 Meridian Blvd.,Franklin,TN,37067-6349,US,"1175 Meridian Blvd., Franklin, TN - Jersey Mike's Subs", ,https://www.jerseymikes.com/4037/franklin-tn,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-96.6553670,43.5425110,RYTUPW1vB0qEbsFgM-yUk2Fe7EQ=,"613 South Highline Place, Sioux Falls, SD - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,613 South Highline Place,Sioux Falls,SD,57110-3069,US,"613 South Highline Place, Sioux Falls, SD - Jersey Mike's Subs", ,https://www.jerseymikes.com/48002/sioux-falls-sd,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-82.8363250,34.6916740,vtUJOJK_7feqEFedXtmoZhj1Jgw=,"1067 Tiger Boulevard, Clemson, SC - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,1067 Tiger Boulevard,Clemson,SC,29631-2924,US,"1067 Tiger Boulevard, Clemson, SC - Jersey Mike's Subs", ,https://www.jerseymikes.com/7022/clemson-sc,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-71.4040900,41.7545200,QsSzBTZHKdGX_IPxK21euR-XOdI=,"782 Warwick Avenue, Warwick, RI - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,782 Warwick Avenue,Warwick,RI,02888-2675,US,"782 Warwick Avenue, Warwick, RI - Jersey Mike's Subs", ,https://www.jerseymikes.com/14003/warwick-ri,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-83.2518630,42.3040820,HfqXRBMcsT2GK8XcPWnLclMAfBI=,"22439 Michigan Ave., Dearborn, MI - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,22439 Michigan Ave.,Dearborn,MI,48124-2130,US,"22439 Michigan Ave., Dearborn, MI - Jersey Mike's Subs", ,https://www.jerseymikes.com/31035/dearborn-mi,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-71.2327540,42.0134600,RTD5-4iDy_HQTYQ3p_iKZQkHqhw=,"333 School Street, Mansfield, MA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,333 School Street,Mansfield,MA,02048-1858,US,"333 School Street, Mansfield, MA - Jersey Mike's Subs", ,https://www.jerseymikes.com/16016/mansfield-ma,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-76.5033420,39.2770000,UpMWLA_XIYeROSZ7LfGngxLbcII=,"1401 Merritt Blvd, Dundalk, MD - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,1401 Merritt Blvd,Dundalk,MD,21222-2140,US,"1401 Merritt Blvd, Dundalk, MD - Jersey Mike's Subs", ,https://www.jerseymikes.com/28041/dundalk-md,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-70.4411050,43.8398440,Jp-IY5fcwX6LboKIzBykARdwWw0=,"795 Roosevelt Trail, Windham, ME - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,795 Roosevelt Trail,Windham,ME,04062-5348,US,"795 Roosevelt Trail, Windham, ME - Jersey Mike's Subs", ,https://www.jerseymikes.com/49002/windham-me,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-89.7791740,30.2851150,zmhe2VAamJymNb1mPFuFOUpwofY=,"1290 Front Street, Slidell, LA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,1290 Front Street,Slidell,LA,70458-2000,US,"1290 Front Street, Slidell, LA - Jersey Mike's Subs", ,https://www.jerseymikes.com/30004/slidell-la,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-84.4270920,38.0388530,5IHcBQ_2ihi3euFNzHCw4Hvh_f0=,"2200 War Admiral Way, Lexington, KY - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,2200 War Admiral Way,Lexington,KY,40509-2498,US,"2200 War Admiral Way, Lexington, KY - Jersey Mike's Subs", ,https://www.jerseymikes.com/10015/lexington-ky,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-84.5148250,38.0393650,QgKmCszVvmNVJshj2GipFVHhp8E=,"867 South Broadway , Lexington, KY - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,867 South Broadway ,Lexington,KY,40504-2866,US,"867 South Broadway , Lexington, KY - Jersey Mike's Subs", ,https://www.jerseymikes.com/10014/lexington-ky,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-84.5753850,38.0023930,haUVdf4iNnq3QWUUdu6OZo_x6QM=,"3901 Fountainblue Lane, Lexington, KY - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,3901 Fountainblue Lane,Lexington,KY,40513-1389,US,"3901 Fountainblue Lane, Lexington, KY - Jersey Mike's Subs", ,https://www.jerseymikes.com/10022/lexington-ky,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-87.4871000,36.8491200,ve2mqP3xCR9RniSmY7GkcTv7s18=,"2916 B Fort Campbell Blvd, Hopkinsville, KY - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,2916 B Fort Campbell Blvd,Hopkinsville,KY,42240-4902,US,"2916 B Fort Campbell Blvd, Hopkinsville, KY - Jersey Mike's Subs", ,https://www.jerseymikes.com/10010/hopkinsville-ky,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-85.9268000,37.0077710,ppfrQ5Sfz9UD7vcZJF6zGAMNfRE=,"360 N Rogers Wells Blvd, Glasgow, KY - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,360 N Rogers Wells Blvd,Glasgow,KY,42141-1300,US,"360 N Rogers Wells Blvd, Glasgow, KY - Jersey Mike's Subs", ,https://www.jerseymikes.com/10023/glasgow-ky,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-84.5330920,38.2305750,DfcmuTUbtjkZKbQoX0kwAkmSY4g=,"100 Ikebana Path, Georgetown, KY - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,100 Ikebana Path,Georgetown,KY,40324-8502,US,"100 Ikebana Path, Georgetown, KY - Jersey Mike's Subs", ,https://www.jerseymikes.com/10019/georgetown-ky,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-84.5604950,39.0361610,mMJyIfhQzsVVDJtVwotHLR4py1s=,"2501 Dixie Highway, US 42, Ft. Mitchell, KY - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,"2501 Dixie Highway, US 42",Ft. Mitchell,KY,41017-3097,US,"2501 Dixie Highway, US 42, Ft. Mitchell, KY - Jersey Mike's Subs", ,https://www.jerseymikes.com/10017/ft-mitchell-ky,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-84.8134370,38.1755480,pkP2O0IhFKW-_IEaluw0ZDkuwM4=,"101 Jett Blvd, Frankfort, KY - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,101 Jett Blvd,Frankfort,KY,40601-7778,US,"101 Jett Blvd, Frankfort, KY - Jersey Mike's Subs", ,https://www.jerseymikes.com/10024/frankfort-ky,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-84.6264400,38.9563400,kqKsobeNdbbkYdrvXtsLbAvofFw=,"310 Mt Zion Road, Florence, KY - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,310 Mt Zion Road,Florence,KY,41042-3294,US,"310 Mt Zion Road, Florence, KY - Jersey Mike's Subs", ,https://www.jerseymikes.com/10003/florence-ky,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-84.6521090,39.0093210,gyXBJQIabwel62Cua8Wz9U-mj0Y=,"1035 Vandercar Way, Florence, KY - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,1035 Vandercar Way,Florence,KY,41042-1581,US,"1035 Vandercar Way, Florence, KY - Jersey Mike's Subs", ,https://www.jerseymikes.com/10012/florence-ky,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-85.8894270,37.7343170,G2E6YfPJnAn7yYXewSFuwKv7bTM=,"143 Towne Drive, Elizabethtown, KY - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,143 Towne Drive,Elizabethtown,KY,42701-7497,US,"143 Towne Drive, Elizabethtown, KY - Jersey Mike's Subs", ,https://www.jerseymikes.com/10020/elizabethtown-ky,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-86.4341400,36.9684280,1yc077-57UnYjZSbjrtBkuMXS2w=,"1713 Scottsville Road, Bowling Green, KY - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,1713 Scottsville Road,Bowling Green,KY,42104-5834,US,"1713 Scottsville Road, Bowling Green, KY - Jersey Mike's Subs", ,https://www.jerseymikes.com/10013/bowling-green-ky,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-90.0838210,30.3929480,OmIsO2nhGvq98BlnmtY5ohJW0tE=,"3323 US Highway 190, Mandeville, LA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,3323 US Highway 190,Mandeville,LA,70471-3141,US,"3323 US Highway 190, Mandeville, LA - Jersey Mike's Subs", ,https://www.jerseymikes.com/30005/mandeville-la,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-90.4564070,30.4834900,JhIT3_CSmk1rmwwPRBApGwlgSbY=,"1823B SW Railroad Avenue, Hammond, LA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,1823B SW Railroad Avenue,Hammond,LA,70403-6151,US,"1823B SW Railroad Avenue, Hammond, LA - Jersey Mike's Subs", ,https://www.jerseymikes.com/30003/hammond-la,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-91.0980310,30.3801140,D_dvXw3Jxhid6OyVhGHxTBxqZMI=,"7770 Bluebonnet Blvd, Baton Rouge, LA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,7770 Bluebonnet Blvd,Baton Rouge,LA,70810-1692,US,"7770 Bluebonnet Blvd, Baton Rouge, LA - Jersey Mike's Subs", ,https://www.jerseymikes.com/30006/baton-rouge-la,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
-91.1127640,30.4311360,5dW0IDrwHCvPfX5yJ8md_CJuxdk=,"7415 Corporate Blvd., Baton Rouge, LA - Jersey Mike's Subs",jerseymikes,fast_food,sandwich,yes,7415 Corporate Blvd.,Baton Rouge,LA,70809-1194,US,"7415 Corporate Blvd., Baton Rouge, LA - Jersey Mike's Subs", ,https://www.jerseymikes.com/30002/baton-rouge-la,Jersey Mike's Subs,Q6184897,jerseymikessubs-4d2ff4
