gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2447665296,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgCtS33,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,6,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.991981,-73.595647,5,,,,,,11/12/2012 0:00,12,11,2012,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgCtS33,Francisco Fonturbel,12/17/2012 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2447665291,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgCtS64,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,9,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.966508,-73.648795,5,,,,,,1/17/2013 0:00,17,1,2013,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgCtS64,Francisco Fonturbel,2/7/2013 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2447665283,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgT45,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,10,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.967,-73.648,3,,,,,,1/21/2014 0:00,21,1,2014,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgT45,Francisco Fonturbel,2/15/2014 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2447665279,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:Puca:Dg27,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Pucatrihue,Los Lagos,PRESENT,1,025d493f-c50c-4d6e-948b-62e86c86a49f,-40.527401,-73.70803,5,,,,,,3/15/2016 0:00,15,3,2016,2433393,2433393,LIVING_SPECIMEN,UChile,Puca,,Dg27,Hector Gonzalez,3/15/2016 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_INSTITUTION
2447665265,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:Dg15,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,1,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.984,-73.631,3,,,,,,2/14/2014 0:00,14,2,2014,2433393,2433393,LIVING_SPECIMEN,UChile,RCV,,Dg15,Francisco Fonturbel,2/14/2014 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_INSTITUTION
2447665258,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:Puca:Dg30,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Pucatrihue,Los Lagos,PRESENT,1,025d493f-c50c-4d6e-948b-62e86c86a49f,-40.565334,-73.718194,5,,,,,,4/8/2016 0:00,8,4,2016,2433393,2433393,LIVING_SPECIMEN,UChile,Puca,,Dg30,Hector Gonzalez,4/8/2016 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_INSTITUTION
2447665257,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgCtS88,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,2,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.982452,-73.651858,5,,,,,,2/7/2013 0:00,7,2,2013,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgCtS88,Francisco Fonturbel,2/13/2013 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2447665256,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:DgCtS54,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,4,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.983444,-73.630658,5,,,,,,12/17/2012 0:00,17,12,2012,2433393,2433393,MACHINE_OBSERVATION,UChile,RCV,,DgCtS54,Francisco Fonturbel,1/14/2013 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2447665253,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:Puca:Dg26,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Pucatrihue,Los Lagos,PRESENT,1,025d493f-c50c-4d6e-948b-62e86c86a49f,-40.526952,-73.70781,5,,,,,,3/14/2016 0:00,14,3,2016,2433393,2433393,LIVING_SPECIMEN,UChile,Puca,,Dg26,Hector Gonzalez,3/14/2016 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_INSTITUTION
2447665252,291a9c9c-2b4b-4593-ae88-7b17c5e41592,UChile:RCV:Dg01,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894","Dromiciops gliroides Thomas, 1894",,CL,Chaihuin,Los Rios,PRESENT,1,025d493f-c50c-4d6e-948b-62e86c86a49f,-39.967,-73.649,3,,,,,,11/2/2011 0:00,2,11,2011,2433393,2433393,LIVING_SPECIMEN,UChile,RCV,,Dg01,Francisco Fonturbel,11/2/2011 0:00,CC_BY_NC_4_0,,,,,9/8/2022 18:13,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_INSTITUTION
